Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
0,5,0,2,34,1,0,0,-1
0,1,2,0,28,0,0,3,1
0,2,1,2,38,0,0,2,-1
1,4,0,2,27,1,0,5,1
1,5,2,2,24,1,1,2,1
0,4,0,2,22,1,0,0,-1
0,3,1,2,38,1,0,0,-1
0,4,0,2,34,0,0,2,1
0,4,2,2,23,1,0,1,-1
1,5,1,1,37,1,0,2,-1
1,0,0,2,27,1,0,5,1
0,4,2,2,34,1,0,3,-1
0,6,2,2,32,1,1,5,1
0,4,0,2,39,1,0,2,-1
0,0,0,2,37,1,0,4,-1
0,5,0,0,29,1,0,3,-1
0,2,0,2,34,0,0,2,-1
0,2,2,2,34,1,0,4,-1
0,3,2,1,30,0,0,0,1
0,4,1,1,22,0,0,0,1
0,0,0,2,37,1,0,0,-1
1,5,1,1,28,1,0,4,-1
0,5,1,1,36,1,0,3,-1
0,3,0,2,27,1,1,5,-1
0,5,0,2,29,1,0,4,-1
0,1,0,2,22,0,1,0,-1
0,4,0,2,37,1,0,2,-1
0,3,0,2,23,1,0,1,-1
0,1,2,1,31,0,0,2,1
1,5,1,1,30,0,0,2,-1
2,1,1,2,25,1,0,3,-1
0,2,0,2,23,1,0,1,-1
0,6,0,2,26,1,0,4,1
0,4,0,2,40,1,0,5,-1
0,5,2,1,37,0,0,0,1
0,2,0,0,30,0,0,3,-1
0,0,1,2,29,1,0,3,-1
0,6,1,1,34,0,0,0,1
0,5,2,1,29,0,0,2,1
0,2,2,2,30,1,1,4,-1
0,3,0,2,36,1,0,1,-1
1,5,1,1,23,1,0,1,-1
0,1,0,2,30,1,0,3,1
0,2,0,2,36,1,0,0,-1
0,3,2,2,39,1,0,4,-1
0,2,0,2,23,0,0,1,-1
2,0,1,2,27,1,0,5,-1
1,1,1,2,35,1,0,2,-1
1,5,1,1,34,1,0,0,-1
0,1,0,2,30,0,0,1,-1
2,5,1,2,34,1,0,2,-1
0,3,2,1,26,0,0,4,1
0,4,0,2,34,0,0,0,-1
0,2,0,2,31,0,1,5,-1
0,5,1,2,31,0,1,5,-1
2,1,1,2,28,1,0,2,-1
0,4,0,2,38,1,0,2,-1
1,2,2,2,39,0,0,2,-1
0,1,2,2,32,1,0,4,-1
1,5,2,1,36,1,0,2,1
1,1,1,2,29,1,0,3,-1
0,3,0,2,30,1,0,5,-1
2,1,0,1,25,1,0,3,1
0,2,2,0,22,0,0,0,1
0,4,0,2,34,1,0,4,-1
0,6,0,2,40,1,0,1,1
2,1,0,2,26,1,0,4,-1
0,2,1,2,28,1,0,0,-1
0,3,0,2,24,0,0,2,-1
1,5,0,2,40,0,0,2,1
0,6,0,2,23,0,0,1,1
1,5,0,2,31,1,0,4,-1
0,2,2,2,25,0,0,3,-1
0,2,0,0,27,1,0,5,-1
1,5,1,1,25,0,0,3,1
0,3,0,2,40,1,0,0,1
0,2,0,0,23,0,0,1,-1
0,5,0,2,23,0,0,1,-1
0,0,0,2,39,1,0,1,-1
2,3,1,0,37,1,0,1,-1
0,5,2,2,38,1,0,2,-1
0,1,0,2,31,0,0,0,1
0,4,0,2,38,1,0,5,-1
0,5,0,2,25,0,0,3,-1
0,3,0,2,27,0,1,5,1
0,4,2,1,36,1,0,0,1
0,5,2,1,27,0,0,5,1
1,3,2,1,32,0,0,4,-1
0,2,0,2,28,1,0,4,-1
1,0,1,2,32,1,0,2,-1
0,6,0,2,30,1,0,0,1
0,3,1,2,22,1,0,0,-1
0,5,1,1,34,0,0,5,-1
1,1,1,2,36,1,0,2,-1
0,2,0,2,39,1,0,3,1
2,6,0,2,26,1,0,4,1
0,4,0,2,31,0,0,0,-1
0,2,0,2,27,1,0,5,1
0,2,0,2,29,0,0,0,-1
0,3,0,2,24,0,0,2,1
1,0,2,2,25,1,0,3,1
0,1,2,2,25,1,0,3,-1
1,5,1,2,26,0,0,4,1
0,3,2,1,28,0,1,1,1
0,5,1,2,28,1,0,2,-1
1,3,2,0,28,0,0,3,1
1,3,1,2,25,1,0,3,-1
0,5,0,2,28,1,0,1,-1
1,1,2,2,25,1,0,3,-1
0,3,0,1,25,0,0,3,1
0,3,0,2,27,0,0,5,-1
0,5,2,1,27,0,0,5,1
0,1,0,2,27,1,0,5,1
0,0,0,2,25,1,0,3,-1
1,5,1,1,28,1,0,2,-1
0,2,2,0,26,0,0,4,1
0,3,0,2,28,1,0,2,-1
1,1,1,2,26,1,0,4,-1
0,5,0,2,26,0,0,4,-1
0,5,1,1,25,1,0,3,-1
0,0,0,0,28,0,0,3,-1
