a,b,c,d,e,f,g,h,i,j,k,l,m,n
0,1,7,15,0,7,5,3,1,0,16,47,7,1
0,1,7,15,0,7,5,3,1,1,16,47,7,1
0,1,7,15,0,7,5,3,1,2,16,47,7,1
0,1,7,15,0,7,5,3,1,3,16,47,7,1
0,1,7,15,0,7,5,3,1,4,16,47,7,1
0,1,7,15,0,7,5,3,1,5,16,47,7,1
0,1,7,15,0,7,5,3,1,6,16,47,7,1
3,6,46,15,6,9,5,1,0,0,20,57,12,0
3,6,46,15,6,9,5,1,0,1,20,57,12,0
3,6,46,15,6,9,5,1,0,2,20,57,12,0
3,6,46,15,6,9,5,1,0,3,20,57,12,0
3,6,46,15,6,9,5,1,0,4,20,57,12,0
3,6,46,15,6,9,5,1,0,5,20,57,12,0
3,6,46,15,6,9,5,1,0,6,20,57,12,0
3,6,46,15,6,9,5,1,0,7,20,57,12,0
8,0,49,14,6,6,3,1,1,0,30,23,32,1
8,0,49,14,6,6,3,1,1,1,30,23,32,1
8,0,49,14,6,6,3,1,1,2,30,23,32,1
8,0,49,14,6,6,3,1,1,3,30,23,32,1
8,0,49,14,6,6,3,1,1,4,30,23,32,1
8,0,49,14,6,6,3,1,1,5,30,23,32,1
8,0,49,14,6,6,3,1,1,6,30,23,32,1
8,0,49,14,6,6,3,1,1,7,30,23,32,1
1,3,17,0,5,7,5,4,1,0,26,67,29,0
1,3,17,0,5,7,5,4,1,1,26,67,29,0
1,3,17,0,5,7,5,4,1,2,26,67,29,0
1,3,17,0,5,7,5,4,1,3,26,67,29,0
1,3,17,0,5,7,5,4,1,4,26,67,29,0
1,3,17,0,5,7,5,4,1,5,26,67,29,0
1,3,17,0,5,7,5,4,1,6,26,67,29,0
5,0,37,5,0,14,4,2,1,0,15,27,28,0
5,0,37,5,0,14,4,2,1,1,15,27,28,0
5,0,37,5,0,14,4,2,1,2,15,27,28,0
5,0,37,5,0,14,4,2,1,3,15,27,28,0
5,0,37,5,0,14,4,2,1,4,15,27,28,0
5,0,37,5,0,14,4,2,1,5,15,27,28,0
5,0,37,5,0,14,4,2,1,6,15,27,28,0
3,3,38,0,4,8,1,2,0,0,18,20,18,1
3,3,38,0,4,8,1,2,0,1,18,20,18,1
3,3,38,0,4,8,1,2,0,2,18,20,18,1
3,3,38,0,4,8,1,2,0,3,18,20,18,1
3,3,38,0,4,8,1,2,0,4,18,20,18,1
3,3,38,0,4,8,1,2,0,5,18,20,18,1
3,3,38,0,4,8,1,2,0,6,18,20,18,1
3,3,38,0,4,8,1,2,0,7,18,20,18,1
7,2,57,4,1,11,2,2,0,0,8,36,35,0
7,2,57,4,1,11,2,2,0,1,8,36,35,0
7,2,57,4,1,11,2,2,0,2,8,36,35,0
7,2,57,4,1,11,2,2,0,3,8,36,35,0
7,2,57,4,1,11,2,2,0,4,8,36,35,0
7,2,57,4,1,11,2,2,0,5,8,36,35,0
7,2,57,4,1,11,2,2,0,6,8,36,35,0
7,2,57,4,1,11,2,2,0,7,8,36,35,0
1,1,54,7,5,4,2,4,1,0,26,49,3,1
1,1,54,7,5,4,2,4,1,1,26,49,3,1
1,1,54,7,5,4,2,4,1,2,26,49,3,1
1,1,54,7,5,4,2,4,1,3,26,49,3,1
1,1,54,7,5,4,2,4,1,4,26,49,3,1
1,1,54,7,5,4,2,4,1,5,26,49,3,1
1,1,54,7,5,4,2,4,1,6,26,49,3,1
3,6,33,0,6,12,4,1,0,0,17,32,27,0
3,6,33,0,6,12,4,1,0,1,17,32,27,0
3,6,33,0,6,12,4,1,0,2,17,32,27,0
3,6,33,0,6,12,4,1,0,3,17,32,27,0
3,6,33,0,6,12,4,1,0,4,17,32,27,0
3,6,33,0,6,12,4,1,0,5,17,32,27,0
3,6,33,0,6,12,4,1,0,6,17,32,27,0
3,6,33,0,6,12,4,1,0,7,17,32,27,0
8,0,39,12,3,10,1,2,1,0,19,91,25,1
8,0,39,12,3,10,1,2,1,1,19,91,25,1
8,0,39,12,3,10,1,2,1,2,19,91,25,1
8,0,39,12,3,10,1,2,1,3,19,91,25,1
8,0,39,12,3,10,1,2,1,4,19,91,25,1
8,0,39,12,3,10,1,2,1,5,19,91,25,1
8,0,39,12,3,10,1,2,1,6,19,91,25,1
8,0,39,12,3,10,1,2,1,7,19,91,25,1
8,4,4,5,2,14,5,3,1,0,31,44,39,0
8,4,4,5,2,14,5,3,1,1,31,44,39,0
8,4,4,5,2,14,5,3,1,2,31,44,39,0
8,4,4,5,2,14,5,3,1,3,31,44,39,0
8,4,4,5,2,14,5,3,1,4,31,44,39,0
8,4,4,5,2,14,5,3,1,5,31,44,39,0
8,4,4,5,2,14,5,3,1,6,31,44,39,0
8,4,4,5,2,14,5,3,1,7,31,44,39,0
5,7,40,12,2,2,4,3,1,0,9,75,21,0
5,7,40,12,2,2,4,3,1,1,9,75,21,0
5,7,40,12,2,2,4,3,1,2,9,75,21,0
5,7,40,12,2,2,4,3,1,3,9,75,21,0
5,7,40,12,2,2,4,3,1,4,9,75,21,0
5,7,40,12,2,2,4,3,1,5,9,75,21,0
5,7,40,12,2,2,4,3,1,6,9,75,21,0
1,0,36,0,5,5,0,3,0,0,28,69,35,1
1,0,36,0,5,5,0,3,0,1,28,69,35,1
1,0,36,0,5,5,0,3,0,2,28,69,35,1
1,0,36,0,5,5,0,3,0,3,28,69,35,1
1,0,36,0,5,5,0,3,0,4,28,69,35,1
1,0,36,0,5,5,0,3,0,5,28,69,35,1
1,0,36,0,5,5,0,3,0,6,28,69,35,1
0,7,16,8,0,7,3,2,1,0,0,49,25,0
0,7,16,8,0,7,3,2,1,1,0,49,25,0
7,0,35,3,0,7,1,3,0,0,12,90,18,0
7,0,35,3,0,7,1,3,0,1,12,90,18,0
7,0,35,3,0,7,1,3,0,2,12,90,18,0
7,0,35,3,0,7,1,3,0,3,12,90,18,0
7,0,35,3,0,7,1,3,0,4,12,90,18,0
7,0,35,3,0,7,1,3,0,5,12,90,18,0
7,0,35,3,0,7,1,3,0,6,12,90,18,0
6,2,20,12,0,11,2,2,0,0,6,22,27,1
6,2,20,12,0,11,2,2,0,1,6,22,27,1
6,2,20,12,0,11,2,2,0,2,6,22,27,1
6,2,20,12,0,11,2,2,0,3,6,22,27,1
6,2,20,12,0,11,2,2,0,4,6,22,27,1
6,2,20,12,0,11,2,2,0,5,6,22,27,1
6,2,20,12,0,11,2,2,0,6,6,22,27,1
7,3,5,15,1,9,3,2,1,0,21,71,28,0
7,3,5,15,1,9,3,2,1,1,21,71,28,0
7,3,5,15,1,9,3,2,1,2,21,71,28,0
7,3,5,15,1,9,3,2,1,3,21,71,28,0
7,3,5,15,1,9,3,2,1,4,21,71,28,0
7,3,5,15,1,9,3,2,1,5,21,71,28,0
7,3,5,15,1,9,3,2,1,6,21,71,28,0
7,3,5,15,1,9,3,2,1,7,21,71,28,0
5,7,45,2,3,9,2,1,0,0,16,10,6,1
5,7,45,2,3,9,2,1,0,1,16,10,6,1
